연번	자치구 	시장명 	신주소(도로명 주소)	구주소(번지주소)	유형	형태	 건물연면적(㎡) 
346	강서구	강서수산시장 골목형상점가	서울 강서구 발산로 24	서울 강서구 외발산동 424	골목형상점가	건물형	             44,863
347	강서구	강서행복한길골목형상점가	서울 강서구 화곡로31길 29	서울 강서구 화곡동 1057-7	골목형상점가	골목형	               4,548
348	강서구	공항골목시장 골목형상점가	서울 강서구 남부순환로11가길 74	서울 강서구 공항동 301-56	골목형상점가	골목형	               9,821
349	강서구	공항대로 골목형상점가	서울 강서구 공항대로61길 42	서울 강서구 염창동 271	골목형상점가	골목형	               9,757
350	강서구	공항동 먹자골목 골목형상점가	서울 강서구 송정로 32-1	서울 강서구 공항동 55-38	골목형상점가	골목형	             79,371
351	강서구	까치산시장	서울특별시 강서구 강서로12길 14	서울특별시 강서구 화곡동 342-16	인정시장	골목형	             26,139
352	강서구	남부골목시장	서울특별시 강서구 등촌로 5길 62-4	서울특별시 강서구 화곡동 801-9	인정시장	골목형	             21,776
353	강서구	방신전통시장	서울특별시 강서구 방화동로 124-1	서울특별시 강서구 방화동 567-35	인정시장	골목형	               6,963
354	강서구	봉제산길 골목형상점가	서울 강서구 등촌로39길 6	서울 강서구 등촌동 512-7	골목형상점가	골목형	               7,979
355	강서구	송정역 카페거리 골목형상점가	서울 강서구 공항대로8길 14	서울 강서구 공항동 33-10	골목형상점가	골목형	             13,505
356	강서구	송화벽화시장	서울특별시 강서구 강서로45나길	서울특별시 강서구 내발사동 724-62 일대	인정시장	골목형	             26,319
357	강서구	우장산역 골목형상점가	서울 강서구 강서로45나길 12	서울 강서구 내발산동 723-6	골목형상점가	골목형	             21,475
358	강서구	초록마을로 골목형상점가	서울 강서구 초록마을로5길 2	서울 강서구 화곡동 53-3	골목형상점가	골목형	             11,885
359	강서구	화곡본동시장	서울 강서구 화곡로32길 18	 	인정시장	골목형	               5,805
360	강서구	화곡중앙시장	서울특별시 강서구 월정로30길66	서울특별시 강서구 화곡동 362-144	인정시장	골목형	               9,436
소계	구로구	21	　	　	　	　	　
361	구로구	가리봉시장	 서울특별시 구로구 우마길 15	 서울특별시 구로구 가리봉동 123-79	인정시장	골목형	               8,858
362	구로구	개봉입구골목상가 골목형상점가	서울 구로구 경인로35길 14	서울 구로구 개봉동 154-114	골목형상점가	골목형	               2,711
363	구로구	개봉중앙 골목형상점가	서울 구로구 개봉로17길 7	 	골목형상점가	골목형	               3,294
364	구로구	개봉중앙시장	 서울특별시 구로구 개봉로17길 34	 서울특별시 구로구 개봉동 324-1	등록시장	건물형	               1,515
365	구로구	개봉프라자	 서울특별시 구로구 고척로40길 19	 서울특별시 구로구 고척동 269-1	등록시장	건물형	               9,974
366	구로구	개봉현대정문상가 골목형상점가	서울 구로구 개봉로20길 6	서울 구로구 개봉동 481	골목형상점가	건물형	                 903
367	구로구	고척골목시장상점가	 서울특별시 구로구 중앙로10길 21 일대	 서울특별시 구로구 고척동 51-1 일대	상점가	상점가	               8,452
368	구로구	고척근린시장	 서울특별시 구로구 경인로33길 98-9	 서울특별시 구로구 고척동 257-6	인정시장	골목형	               6,013
369	구로구	고척중앙 골목형상점가	서울 구로구 중앙로 32	서울 구로구 고척동 52-346	골목형상점가	건물형	               2,023
370	구로구	고척프라자	 서울특별시 구로구 중앙로10길 7	 서울특별시 구로구 고척동 50-48	등록시장	건물형	             11,965
371	구로구	구로시장	 서울특별시 구로구 구로동로22길 20-27	 서울특별시 구로구 구로동 735-168	등록시장	골목형	               5,091
372	구로구	구일로 골목형상점가	서울 구로구 구일로10길 27	서울 구로구 구로동 650-4	골목형상점가	건물형	               4,271
373	구로구	그라운드고척 골목형상점가	서울 구로구 경인로47길 6	서울 구로구 고척동 62-135	골목형상점가	골목형	             14,030
